x,y,z,player,worldName,time
-548,110,154,10,world_nether,16440266
-556,101,154,10,world_nether,16440482
-566,104,155,10,world_nether,16440697
-567,105,152,10,world_nether,16440723
-591,105,151,10,world_nether,16440826
-603,100,155,10,world_nether,16440893
-603,97,158,10,world_nether,16440907
-597,90,161,10,world_nether,16440954
-591,83,161,10,world_nether,16440982
-587,80,161,10,world_nether,16440998
-584,77,162,10,world_nether,16441013
-578,70,162,10,world_nether,16441042
-523,44,128,10,world_nether,16441326
-522,38,116,10,world_nether,16441372
-521,38,109,10,world_nether,16441416
-519,38,104,10,world_nether,16441434
-521,38,107,10,world_nether,16441484
-520,37,108,10,world_nether,16441631
-513,38,105,10,world_nether,16441685
-507,36,105,10,world_nether,16441705
-489,34,106,10,world_nether,16441810
-478,34,106,10,world_nether,16441864
-467,34,105,10,world_nether,16441890
-458,34,105,10,world_nether,16441911
-443,34,106,10,world_nether,16441955
-433,34,106,10,world_nether,16441977
-391,34,105,10,world_nether,16442070
-385,34,105,10,world_nether,16442087
-352,34,106,10,world_nether,16442183
-344,34,106,10,world_nether,16442212
-324,34,106,10,world_nether,16442274
-325,34,105,10,world_nether,16442312
-321,34,106,10,world_nether,16442348
-302,34,106,10,world_nether,16442399
-284,34,106,10,world_nether,16442442
-266,34,105,10,world_nether,16442489
-248,34,105,10,world_nether,16442534
-232,34,105,10,world_nether,16442577
-217,34,105,10,world_nether,16442617
-206,34,105,10,world_nether,16442661
-189,34,105,10,world_nether,16442707
-154,34,105,10,world_nether,16442791
-143,34,106,10,world_nether,16442826
-134,34,106,10,world_nether,16442851
-125,34,106,10,world_nether,16442875
-98,34,106,10,world_nether,16442951
-88,34,105,10,world_nether,16442986
-79,34,106,10,world_nether,16443015
-37,35,105,10,world_nether,16443116
-28,35,106,10,world_nether,16443140
-21,34,106,10,world_nether,16443163
-14,34,106,10,world_nether,16443586
-15,34,105,10,world_nether,16443627
-7,34,106,10,world_nether,16443790
3,34,126,10,world_nether,16443937
3,34,149,10,world_nether,16444019
7,34,174,10,world_nether,16444151
15,33,175,10,world_nether,16444227
33,35,174,10,world_nether,16444352
40,36,176,10,world_nether,16444401
